2.240	7.702
1.029	7.842
5.542	9.665
8.714	12.026
9.345	13.536
12.713	18.975
14.388	21.370
12.826	22.142
15.471	24.495
19.434	25.120
24.876	28.216
28.278	29.501
23.883	30.700
28.121	31.198
31.716	38.618
33.244	40.071
35.310	40.527
36.249	42.614
39.948	44.968
35.733	46.185
41.174	50.701
50.739	53.875
59.270	66.453
60.043	67.028
62.786	69.645
64.049	70.344
71.624	80.008
77.256	81.524
76.069	83.967
72.045	84.331
76.448	86.278
82.528	91.073
92.509	98.850
93.267	100.721
97.564	101.742
97.195	102.978
101.131	103.393
110.901	116.809
114.792	118.166
120.153	129.748
127.102	130.460
125.198	131.671
139.889	147.045
143.797	149.190
145.118	150.280
145.314	151.817
148.229	152.268
148.424	153.917
156.104	166.295
164.607	167.535
167.539	173.824
169.817	175.911
181.270	186.741
179.257	189.876
186.051	190.613
181.313	191.046
192.081	201.191
196.951	203.804
194.339	204.176
201.656	205.660
202.237	207.279
203.795	208.213
214.543	223.188
222.112	226.767
219.586	228.230
225.533	232.978
228.337	234.501
227.246	235.745
231.573	238.514
236.138	239.712
237.038	245.261
241.667	248.232
245.877	251.135
246.079	252.765
249.788	253.993
246.651	255.700
249.059	256.051
258.634	264.263
256.656	265.409
264.087	267.231
264.394	268.994
267.172	270.534
271.150	278.153
271.215	278.737
273.424	282.471
281.616	286.297
278.924	289.228
285.375	292.342
286.585	293.184
299.881	308.591
302.109	309.936
304.442	310.699
305.746	311.017
308.740	312.674
306.344	314.274
304.366	318.384
313.318	319.325
318.624	320.606
306.995	324.419
320.848	328.429
328.137	331.027
325.267	333.203
324.379	333.296
329.335	337.567
332.346	337.601
336.363	338.329
338.071	340.808
332.148	341.316
339.542	343.726
339.934	346.290
339.926	347.601
349.770	355.307
354.074	358.507
346.987	358.954
357.142	362.087
355.837	364.629
357.232	364.919
353.530	367.159
362.689	368.093
354.951	369.120
362.716	369.625
359.341	372.626
369.807	376.768
377.482	383.786
378.770	384.497
380.581	386.694
379.355	386.949
378.221	390.372
382.546	391.781
398.918	405.687
405.735	411.771
405.541	412.016
410.365	413.537
406.260	416.035
412.112	418.654
409.121	418.818
413.214	420.397
416.404	422.497
415.334	423.476
416.803	423.690
416.840	423.820
423.876	426.749
429.479	436.181
433.189	439.204
431.948	440.123
434.166	441.719
439.188	442.190
435.413	442.859
440.158	443.513
439.822	443.574
440.911	445.005
